*****************************
Basic coeficients
*****************************
  -20.00    ,      nan    

Cd_Flaps for Plain Flaps (set 3)
Alpha, DeltaFlap
            ,    20.00    ,    10.00    ,    5.000    ,     .000    ,   -7.500    ,   -15.00    ,   -20.00    
  -16.00    ,    .1056    ,    .2550E-01,   -.2219E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -12.00    ,    .8639E-01,    .1924E-01,   -.1279E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -8.000    ,    .6803E-01,    .1326E-01,   -.3830E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -4.000    ,    .5003E-01,    .7405E-02,    .4955E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -2.000    ,    .4139E-01,    .4592E-02,    .9174E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
    .000    ,    .3298E-01,    .1855E-02,    .1328E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   2.000    ,    .2437E-01,   -.9486E-03,    .1749E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   4.000    ,    .1534E-01,   -.3885E-02,    .2189E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   6.000    ,    .5434E-02,   -.7110E-02,    .2673E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   8.000    ,   -.5132E-02,   -.1055E-01,    .3189E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -20.00    ,   -10.00    ,   -5.000    ,     .000    ,    7.500    ,    15.00    ,    20.00    
  -16.00    ,    .1056    ,    .5957E-01,    .2550E-01,   -.4243E-04,   -.2219E-01,   -.2561E-01,   -.2476E-01
  -12.00    ,    .8639E-01,    .4704E-01,    .1924E-01,   -.2989E-04,   -.1279E-01,   -.7617E-02,   -.5504E-02
  -8.000    ,    .6803E-01,    .3509E-01,    .1326E-01,   -.1794E-04,   -.3830E-02,    .9540E-02,    .1285E-01
  -4.000    ,    .5003E-01,    .2338E-01,    .7405E-02,   -.6226E-05,    .4955E-02,    .2636E-01,    .3085E-01
  -2.000    ,    .4139E-01,    .1775E-01,    .4592E-02,   -.6005E-06,    .9174E-02,    .3444E-01,    .3949E-01
    .000    ,    .3298E-01,    .1228E-01,    .1855E-02,    .4875E-05,    .1328E-01,    .4230E-01,    .4791E-01
   2.000    ,    .2437E-01,    .6670E-02,   -.9486E-03,    .1048E-04,    .1749E-01,    .5035E-01,    .5652E-01
   4.000    ,    .1534E-01,    .7969E-03,   -.3885E-02,    .1635E-04,    .2189E-01,    .5878E-01,    .6554E-01
   6.000    ,    .5434E-02,   -.5653E-02,   -.7110E-02,    .2281E-04,    .2673E-01,    .6804E-01,    .7545E-01
   8.000    ,   -.5132E-02,   -.1253E-01,   -.1055E-01,    .2968E-04,    .3189E-01,    .7792E-01,    .8602E-01

DeltaElev, CL_Elev
  -20.00    ,   -.1199    
  -10.00    ,   -.7802E-01
  -5.000    ,   -.3901E-01
    .000    ,    .7802E-04
   7.500    ,    .5851E-01
   15.00    ,    .1120    
   20.00    ,    .1199    

DeltaElev, Cm_Elev
  -20.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   7.500    ,     .000    
   15.00    ,     .000    
   20.00    ,     .000    

DeltaElev, CLa_Elev
  -20.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   7.500    ,     .000    
   15.00    ,     .000    
   20.00    ,     .000    

DeltaElev, Cha_Elev
  -20.00    ,   -.5925E-02
  -10.00    ,   -.5925E-02
  -5.000    ,   -.5925E-02
    .000    ,   -.5925E-02
   7.500    ,   -.5925E-02
   15.00    ,   -.5925E-02
   20.00    ,   -.5925E-02

DeltaElev, Chd_Elev
  -20.00    ,   -.1443E-01
  -10.00    ,   -.1344E-01
  -5.000    ,   -.1344E-01
    .000    ,   -.1344E-01
   7.500    ,   -.1344E-01
   15.00    ,   -.1363E-01
   20.00    ,   -.1443E-01



